PortfolioID	TradeID	CollectRegulations	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	Amount	AmountCurrency	AmountUSD
C35	C35.S_IR_35	All	RatesFX	Risk_IRCurve	CNY	3	3m	Libor1m	-500000	USD	-500000
C36	C36.S_IR_36	All	RatesFX	Risk_IRCurve	CNY	3	6m	Libor3m	-1000000	USD	-1000000
C37	C37.S_IR_37	All	RatesFX	Risk_IRCurve	MXN	3	1y	Libor6m	9000000	USD	9000000
C38	C38.S_IR_38	All	RatesFX	Risk_IRCurve	MXN	3	2y	Libor12m	10000000	USD	10000000
C39	C39.S_IR_39	All	RatesFX	Risk_IRCurve	MXN	3	3y	OIS	-500000	USD	-500000
C40	C40.S_IR_40	All	RatesFX	Risk_IRCurve	MXN	3	5y	OIS	-1000000	USD	-1000000
C41	C41.S_IR_41	All	Credit	Risk_IRCurve	BRL	3	10y	Libor6m	14000000	USD	14000000
C42	C42.S_IR_42	All	Credit	Risk_IRCurve	BRL	3	15y	Libor6m	30000000	USD	30000000
C43	C43.S_IR_43	All	Credit	Risk_IRCurve	BRL	3	20y	Libor12m	-800000	USD	-800000
C44	C44.S_IR_44	All	Credit	Risk_IRCurve	BRL	3	30y	Libor12m	-800000	USD	-800000
C45	C45.S_IR_45	All	Credit	Risk_Inflation	BRL				2000000	USD	2000000
C46	C46.S_IR_46	All	Credit	Risk_XCcyBasis	BRL				-1000000	USD	-1000000
C47	C47.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C47	C47.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C48	C48.S_IR_4	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	3000000	USD	3000000
C48	C48.S_IR_5	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	-1000000	USD	-1000000
C49	C49.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C49	C49.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C49	C49.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C49	C49.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C49	C49.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C49	C49.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C49	C49.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C49	C49.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C49	C49.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C49	C49.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C49	C49.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C49	C49.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C49	C49.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C49	C49.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C49	C49.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C50	C50.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C50	C50.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C50	C50.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C50	C50.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C50	C50.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C50	C50.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C50	C50.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C50	C50.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C50	C50.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C51	C51.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C51	C51.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C51	C51.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C51	C51.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C51	C51.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C51	C51.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C51	C51.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C51	C51.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C51	C51.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C51	C51.S_IR_17	All	RatesFX	Risk_Inflation	CHF				-10000000	USD	-10000000
C51	C51.S_IR_18	All	RatesFX	Risk_XCcyBasis	CHF				30000000	USD	30000000
C52	C52.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C52	C52.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C52	C52.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C52	C52.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C52	C52.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C52	C52.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C52	C52.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C52	C52.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C52	C52.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C53	C53.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C53	C53.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C53	C53.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C53	C53.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C53	C53.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C53	C53.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C53	C53.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C53	C53.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C53	C53.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C53	C53.S_IR_31	All	RatesFX	Risk_Inflation	JPY				5000000	USD	5000000
C53	C53.S_IR_32	All	RatesFX	Risk_XCcyBasis	JPY				500000	USD	500000
C54	C54.S_IR_41	All	Credit	Risk_IRCurve	BRL	3	10y	Libor6m	14000000	USD	14000000
C54	C54.S_IR_42	All	Credit	Risk_IRCurve	BRL	3	15y	Libor6m	30000000	USD	30000000
C54	C54.S_IR_43	All	Credit	Risk_IRCurve	BRL	3	20y	Libor12m	-800000	USD	-800000
C54	C54.S_IR_44	All	Credit	Risk_IRCurve	BRL	3	30y	Libor12m	-800000	USD	-800000
C55	C55.S_IR_41	All	Credit	Risk_IRCurve	BRL	3	10y	Libor6m	14000000	USD	14000000
C55	C55.S_IR_42	All	Credit	Risk_IRCurve	BRL	3	15y	Libor6m	30000000	USD	30000000
C55	C55.S_IR_43	All	Credit	Risk_IRCurve	BRL	3	20y	Libor12m	-800000	USD	-800000
C55	C55.S_IR_44	All	Credit	Risk_IRCurve	BRL	3	30y	Libor12m	-800000	USD	-800000
C55	C55.S_IR_45	All	Credit	Risk_Inflation	BRL				2000000	USD	2000000
C55	C55.S_IR_46	All	Credit	Risk_XCcyBasis	BRL				-1000000	USD	-1000000
C56	C56.S_IR_3	All	RatesFX	Risk_IRCurve	USD	1	1y	Municipal	2000000	USD	2000000
C56	C56.S_IR_4	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	3000000	USD	3000000
C57	C57.S_IR_6	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor3m	-2000000	USD	-2000000
C57	C57.S_IR_7	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor6m	5000000	USD	5000000
C58	C58.S_IR_2	All	RatesFX	Risk_IRCurve	USD	1	3m	Municipal	-3000000	USD	-3000000
C58	C58.S_IR_5	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	-1000000	USD	-1000000
C59	C59.S_IR_11	All	RatesFX	Risk_IRCurve	AUD	1	1m	Libor3m	2000000	USD	2000000
C59	C59.S_IR_12	All	RatesFX	Risk_IRCurve	AUD	1	6m	Libor3m	3000000	USD	3000000
C60	C60.S_IR_12	All	RatesFX	Risk_IRCurve	AUD	1	6m	Libor3m	3000000	USD	3000000
C60	C60.S_IR_13	All	RatesFX	Risk_IRCurve	AUD	1	2y	Libor3m	-2000000	USD	-2000000
C61	C61.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C61	C61.S_IR_20	All	RatesFX	Risk_IRCurve	JPY	2	1m	Libor1m	-1500000	USD	-1500000
C61	C61.S_IR_21	All	RatesFX	Risk_IRCurve	JPY	2	3m	Libor3m	1500000	USD	1500000
C61	C61.S_IR_22	All	RatesFX	Risk_IRCurve	JPY	2	6m	Libor3m	2000000	USD	2000000
C61	C61.S_IR_23	All	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	3000000	USD	3000000
C61	C61.S_IR_24	All	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	4000000	USD	4000000
C61	C61.S_IR_25	All	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	5000000	USD	5000000
C61	C61.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C61	C61.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C61	C61.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C61	C61.S_IR_29	All	RatesFX	Risk_IRCurve	JPY	2	20y	Libor12m	-2000000	USD	-2000000
C61	C61.S_IR_30	All	RatesFX	Risk_IRCurve	JPY	2	30y	Libor12m	3000000	USD	3000000
C62	C62.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C62	C62.S_IR_20	All	RatesFX	Risk_IRCurve	JPY	2	1m	Libor1m	-1500000	USD	-1500000
C62	C62.S_IR_21	All	RatesFX	Risk_IRCurve	JPY	2	3m	Libor3m	1500000	USD	1500000
C62	C62.S_IR_22	All	RatesFX	Risk_IRCurve	JPY	2	6m	Libor3m	2000000	USD	2000000
C62	C62.S_IR_23	All	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	3000000	USD	3000000
C62	C62.S_IR_24	All	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	4000000	USD	4000000
C62	C62.S_IR_25	All	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	5000000	USD	5000000
C62	C62.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C62	C62.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C62	C62.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C62	C62.S_IR_29	All	RatesFX	Risk_IRCurve	JPY	2	20y	Libor12m	-2000000	USD	-2000000
C62	C62.S_IR_30	All	RatesFX	Risk_IRCurve	JPY	2	30y	Libor12m	3000000	USD	3000000
C62	C62.S_IR_31	All	RatesFX	Risk_Inflation	JPY				5000000	USD	5000000
C62	C62.S_IR_32	All	RatesFX	Risk_XCcyBasis	JPY				500000	USD	500000
C63	C63.S_IR_1	All	RatesFX	Risk_IRCurve	USD	1	2w	OIS	4000000	USD	4000000
C63	C63.S_IR_22	All	RatesFX	Risk_IRCurve	JPY	2	6m	Libor3m	2000000	USD	2000000
C63	C63.S_IR_33	All	RatesFX	Risk_IRCurve	CNY	3	2w	OIS	1000000	USD	1000000
C64	C64.S_IR_1	All	RatesFX	Risk_IRCurve	USD	1	2w	OIS	4000000	USD	4000000
C64	C64.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C64	C64.S_IR_33	All	RatesFX	Risk_IRCurve	CNY	3	2w	OIS	1000000	USD	1000000
C65	C65.S_IR_2	All	RatesFX	Risk_IRCurve	USD	1	3m	Municipal	-3000000	USD	-3000000
C65	C65.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C65	C65.S_IR_35	All	RatesFX	Risk_IRCurve	CNY	3	3m	Libor1m	-500000	USD	-500000
C66	C66.S_IR_3	All	RatesFX	Risk_IRCurve	USD	1	1y	Municipal	2000000	USD	2000000
C66	C66.S_IR_21	All	RatesFX	Risk_IRCurve	JPY	2	3m	Libor3m	1500000	USD	1500000
C66	C66.S_IR_37	All	RatesFX	Risk_IRCurve	MXN	3	1y	Libor6m	9000000	USD	9000000
C66	C66.S_IR_38	All	RatesFX	Risk_IRCurve	MXN	3	2y	Libor12m	10000000	USD	10000000
C66	C66.S_IR_37	All	RatesFX	Risk_IRCurve	MXN	3	1y	Libor6m	9000000	USD	9000000
C66	C66.S_IR_38	All	RatesFX	Risk_IRCurve	MXN	3	2y	Libor12m	10000000	USD	10000000
C67	C67.S_IR_1	All	RatesFX	Risk_IRCurve	USD	1	2w	OIS	4000000	USD	4000000
C67	C67.S_IR_2	All	RatesFX	Risk_IRCurve	USD	1	3m	Municipal	-3000000	USD	-3000000
C67	C67.S_IR_3	All	RatesFX	Risk_IRCurve	USD	1	1y	Municipal	2000000	USD	2000000
C67	C67.S_IR_4	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	3000000	USD	3000000
C67	C67.S_IR_5	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	-1000000	USD	-1000000
C67	C67.S_IR_6	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor3m	-2000000	USD	-2000000
C67	C67.S_IR_7	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor6m	5000000	USD	5000000
C67	C67.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C67	C67.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C67	C67.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C67	C67.S_IR_11	All	RatesFX	Risk_IRCurve	AUD	1	1m	Libor3m	2000000	USD	2000000
C67	C67.S_IR_12	All	RatesFX	Risk_IRCurve	AUD	1	6m	Libor3m	3000000	USD	3000000
C67	C67.S_IR_13	All	RatesFX	Risk_IRCurve	AUD	1	2y	Libor3m	-2000000	USD	-2000000
C67	C67.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C67	C67.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C67	C67.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C67	C67.S_IR_17	All	RatesFX	Risk_Inflation	CHF				-10000000	USD	-10000000
C67	C67.S_IR_18	All	RatesFX	Risk_XCcyBasis	CHF				30000000	USD	30000000
C67	C67.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C67	C67.S_IR_20	All	RatesFX	Risk_IRCurve	JPY	2	1m	Libor1m	-1500000	USD	-1500000
C67	C67.S_IR_21	All	RatesFX	Risk_IRCurve	JPY	2	3m	Libor3m	1500000	USD	1500000
C67	C67.S_IR_22	All	RatesFX	Risk_IRCurve	JPY	2	6m	Libor3m	2000000	USD	2000000
C67	C67.S_IR_23	All	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	3000000	USD	3000000
C67	C67.S_IR_24	All	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	4000000	USD	4000000
C67	C67.S_IR_25	All	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	5000000	USD	5000000
C67	C67.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C67	C67.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C67	C67.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C67	C67.S_IR_29	All	RatesFX	Risk_IRCurve	JPY	2	20y	Libor12m	-2000000	USD	-2000000
C67	C67.S_IR_30	All	RatesFX	Risk_IRCurve	JPY	2	30y	Libor12m	3000000	USD	3000000
C67	C67.S_IR_31	All	RatesFX	Risk_Inflation	JPY				5000000	USD	5000000
C67	C67.S_IR_32	All	RatesFX	Risk_XCcyBasis	JPY				500000	USD	500000
C67	C67.S_IR_33	All	RatesFX	Risk_IRCurve	CNY	3	2w	OIS	1000000	USD	1000000
C67	C67.S_IR_34	All	RatesFX	Risk_IRCurve	CNY	3	1m	OIS	1500000	USD	1500000
C67	C67.S_IR_35	All	RatesFX	Risk_IRCurve	CNY	3	3m	Libor1m	-500000	USD	-500000
C67	C67.S_IR_36	All	RatesFX	Risk_IRCurve	CNY	3	6m	Libor3m	-1000000	USD	-1000000
C67	C67.S_IR_37	All	RatesFX	Risk_IRCurve	MXN	3	1y	Libor6m	9000000	USD	9000000
C67	C67.S_IR_38	All	RatesFX	Risk_IRCurve	MXN	3	2y	Libor12m	10000000	USD	10000000
C67	C67.S_IR_39	All	RatesFX	Risk_IRCurve	MXN	3	3y	OIS	-500000	USD	-500000
C67	C67.S_IR_40	All	RatesFX	Risk_IRCurve	MXN	3	5y	OIS	-1000000	USD	-1000000
C67	C67.S_IR_41	All	Credit	Risk_IRCurve	BRL	3	10y	Libor6m	14000000	USD	14000000
C67	C67.S_IR_42	All	Credit	Risk_IRCurve	BRL	3	15y	Libor6m	30000000	USD	30000000
C67	C67.S_IR_43	All	Credit	Risk_IRCurve	BRL	3	20y	Libor12m	-800000	USD	-800000
C67	C67.S_IR_44	All	Credit	Risk_IRCurve	BRL	3	30y	Libor12m	-800000	USD	-800000
C67	C67.S_IR_45	All	Credit	Risk_Inflation	BRL				2000000	USD	2000000
C67	C67.S_IR_46	All	Credit	Risk_XCcyBasis	BRL				-1000000	USD	-1000000
C68	C68.S_FX_1	All	RatesFX	Risk_FX	EUR				50000000	USD	50000000
C68	C68.S_FX_2	All	RatesFX	Risk_FX	EUR				-50000000	USD	-50000000
C69	C69.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C69	C69.S_FX_4	All	RatesFX	Risk_FX	USD				610000000	USD	610000000
C70	C70.S_FX_5	All	RatesFX	Risk_FX	GBP				910000000	USD	910000000
C70	C70.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C71	C71.S_FX_7	All	RatesFX	Risk_FX	CNY				-200000000	USD	-200000000
C71	C71.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C72	C72.S_FX_9	All	RatesFX	Risk_FX	TRY				80000000	USD	80000000
C72	C72.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C73	C73.S_FX_11	All	Credit	Risk_FX	BRL				41000000	USD	41000000
C73	C73.S_FX_12	All	Credit	Risk_FX	QAR				-40000000	USD	-40000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C74	C74.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C74	C74.S_FX_6	All	RatesFX	Risk_FX	EUR				-900000000	USD	-900000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C75	C75.S_FX_8	All	RatesFX	Risk_FX	KRW				210000000	USD	210000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C76	C76.S_FX_10	All	RatesFX	Risk_FX	BRL				-300000000	USD	-300000000
C77	C77.S_FX_3	All	RatesFX	Risk_FX	EUR				-5000000000	USD	-5000000000
C77	C77.S_FX_4	All	RatesFX	Risk_FX	USD				610000000	USD	610000000
C77	C77.S_FX_5	All	RatesFX	Risk_FX	GBP				910000000	USD	910000000
